chr	start	stop
ALG11	13	52012391	52079232
HNRNPA1L2	13	52642431	52643773
TDRD3	13	60396457	60573878
DACH1	13	71437966	71867204
DIS3	13	72752169	72782096
PIBF1	13	72782133	73016461
KLF5	13	73054976	73077541
CLN5	13	76990660	77019143
ABCC4	13	95019835	95301475
RAP2A	13	97434169	97469128
IPO5	13	97953658	98024296
DOCK9	13	98793429	99086625
TMTC4	13	100603625	100675093
ERCC5	13	102845831	102875995
EFNB2	13	106489745	106535662
LIG4	13	108207439	108218368
IRS2	13	109752695	109786583
COL4A1	13	110148963	110307202
ING1	13	110712736	110723339
ARHGEF7	13	111114559	111305737
F7	13	113105788	113120685
PCID2	13	113177536	113208715
CUL4A	13	113208193	113267108
LAMP1	13	113297239	113323672
GAS6	13	113820549	113864076
CHAMP1	13	114314482	114337626
APEX1	14	20455191	20457772
PNP	14	20461992	20477094
NDRG2	14	21016763	21070872
TOX4	14	21476597	21499175
METTL3	14	21498133	21511342
MMP14	14	22836560	22849041
RBM23	14	22893204	22919182
PRMT5	14	22920525	22929408
PSMB5	14	23016543	23035230
BCL2L2	14	23298790	23311751
EFS	14	23356403	23365752
NGDN	14	23469679	23509862
RNF31	14	24146683	24160660
DHRS1	14	24290598	24299780
LTB4R2	14	24305734	24312053
NFATC4	14	24365673	24379604
PRKD1	14	29576479	30191898
STRN3	14	30893799	31026401
EGLN3	14	33924227	34462774
CFL2	14	34709113	34714823
PPP2R3C	14	35085467	35122517
PSMA6	14	35278633	35317493
MIPOL1	14	37197894	37579125
FOXA1	14	37589552	37596059
FBXO33	14	39397684	39432466
KLHDC2	14	49768130	49786385
ARF6	14	49893079	49897054
MAP4K5	14	50418501	50561126
NIN	14	50719763	50831162
PYGL	14	50857891	50944483
TMX1	14	51240162	51257655
FRMD6	14	51489100	51730727
TXNDC16	14	52429472	52552547
GMFB	14	54474484	54489025
CGRRF1	14	54509812	54539292
GCH1	14	54842008	54902826
RTN1	14	59595976	59870776
PPM1A	14	60245752	60299087
SIX1	14	60643421	60658259
PRKCH	14	61187559	61550980
HIF1A	14	61695513	61748259
MTHFD1	14	64388031	64463457
ZBTB25	14	64449106	64505213
ZBTB1	14	64503712	64533690
HSPA2	14	64535905	64546173
MAX	14	65006174	65102695
FUT8	14	65410592	65744121
GPHN	14	66507407	67181803
EIF2S1	14	67360328	67386516
ARG2	14	67619920	67651708
ZFYVE26	14	67727374	67816590
ACTN1	14	68874123	68979440
SLC39A9	14	69398015	69462390
ZFYVE1	14	72969451	73027131
PSEN1	14	73136418	73223691
NUMB	14	73275107	73466167
RIOX1	14	73490933	73493394
PNMA1	14	73711783	73714384
ZNF410	14	73886617	73932521
ABCD4	14	74285269	74303055
YLPM1	14	74763316	74859435
PGF	14	74941834	74955626
JDP2	14	75427716	75474111
ERG28	14	75649791	75660876
IRF2BPL	14	77024543	77028708
GSTZ1	14	77320996	77331597
DIO2	14	80197526	80387757
SEL1L	14	81471547	81533853
SPATA7	14	88384924	88470350
NRDE2	14	90267860	90331969
RPS6KA5	14	90847861	91060641
TC2N	14	91779746	91867536
FBLN5	14	91869411	91947987
ATXN3	14	92044496	92106621
LGMN	14	92703807	92748679
SERPINA5	14	94561442	94593118
SERPINA3	14	94612384	94624055
DICER1	14	95086228	95158010
YY1	14	100238298	100282788
WARS	14	100333790	100376805
MEG3	14	100779206	100861031
DYNC1H1	14	101964573	102056443
CINP	14	102341102	102362916
RCOR1	14	102592649	102730561
ZFYVE21	14	103715730	103733668
AKT1	14	104769349	104795759
MTA1	14	105419820	105470729
SNURF	15	24954987	24977850
UBE3A	15	25333728	25439051
GABRB3	15	26543552	26939539
GABRG3	15	26971181	27541984
HERC2	15	28111040	28322179
TJP1	15	29699367	29968915
SCG5	15	32641676	32697098
EMC4	15	34225013	34230156
SLC12A6	15	34229784	34338060
THBS1	15	39581079	39599466
EIF2AK4	15	39934115	40035591
KNSTRN	15	40382721	40394288
DNAJC17	15	40765161	40807478
NUSAP1	15	41320794	41381050
GANC	15	42273201	42353666
ZNF106	15	42412823	42491141
SNAP23	15	42491233	42545356
CCNDBP1	15	43185118	43197177
TP53BP1	15	43403061	43510728
PDIA3	15	43746394	43773279
SORD	15	45023147	45077185
DUOX2	15	45092650	45114172
DUOXA1	15	45117366	45129938
SPATA5L1	15	45402336	45421415
MYEF2	15	48134632	48178353
EID1	15	48878134	48880173
SECISBP2L	15	48988476	49046447
TRPM7	15	50552473	50686797
SPPL2A	15	50702266	50765948
DMXL2	15	51447711	51622833
MYO5A	15	52307281	52529132
RAB27A	15	55202966	55319113
CGNL1	15	57375967	57550717
POLR2M	15	57706695	57782762
ADAM10	15	58588809	58749791
MINDY2	15	58771192	58861900
MYO1E	15	59132434	59372871
ANXA2	15	60347134	60402883
APH1B	15	63276018	63309126
CA12	15	63321378	63381846
SNX1	15	64094123	64146090
CSNK1G1	15	64165525	64356173
CLPX	15	65148219	65185342
DPP8	15	65442463	65517704
SLC24A1	15	65611366	65660995
RAB11A	15	65726054	65891989
MAP2K1	15	66386837	66491656
SMAD3	15	67063763	67195173
MAP2K5	15	67542703	67807117
PKM	15	72199029	72231819
HEXA	15	72340924	72376420
NPTN	15	73560014	73634134
CD276	15	73683966	73714514
LOXL1	15	73925989	73952137
PML	15	73994673	74047827
CLK3	15	74598500	74645414
CSK	15	74782080	74803197
MPI	15	74890005	74902219
SIN3A	15	75369379	75455842
SNX33	15	75647912	75662301
SCAPER	15	76347904	76905444
RCN2	15	76931738	76954393
TSPAN3	15	77041404	77083984
CTSH	15	78921058	78949574
ZNF592	15	84748592	84806445
ANPEP	15	89784895	89815401
IDH2	15	90083045	90102477
SEMA4B	15	90160604	90229679
IQGAP1	15	90388242	90502239
FURIN	15	90868588	90883564
UNC45A	15	90930180	90954093
MCTP2	15	94231538	94483952
IGF1R	15	98648539	98964530
SYNM	15	99098217	99135593
TTC23	15	99136323	99251223
MEF2A	15	99565417	99716488
LINS1	15	100559369	100603230
LUC7L	16	188969	229463
AXIN1	16	287440	352723
WDR90	16	649311	667833
STUB1	16	680224	682870
MSLN	16	760734	768865
CACNA1H	16	1153103	1224169
UBE2I	16	1291444	1327018
TELO2	16	1493344	1510457
JPT2	16	1678256	1702280
MAPK8IP3	16	1706166	1770351
SLC9A3R2	16	2025356	2039026
TSC2	16	2047967	2089491
PKD1	16	2088708	2135898
E4F1	16	2223580	2235742
ABCA3	16	2275881	2340746
PDPK1	16	2537979	2603190
KCTD5	16	2682523	2709030
TRAP1	16	3651639	3717553
CREBBP	16	3725054	3880713
DNAJA3	16	4425805	4456775
NUDT16L1	16	4693562	4695859
GLYR1	16	4803203	4847288
ABAT	16	8674596	8784575
PMM2	16	8788823	8862534
USP7	16	8892097	8975328
EMP2	16	10528422	10580632
CLEC16A	16	10944539	11182186
ZC3H7A	16	11750586	11797258
SNX29	16	11976734	12574287
ERCC4	16	13920138	13952348
MRTFB	16	14071319	14266773
PDXDC1	16	14974591	15153671
ABCC1	16	15949138	16143257
NOMO3	16	16232506	16300806
GPRC5B	16	19856691	19886167
SCNN1G	16	23182745	23216883
NDUFAB1	16	23581014	23596316
KDM8	16	27203508	27221768
IL4R	16	27313668	27364778
GTF3C1	16	27459555	27549913
XPO6	16	28097976	28211965
CLN3	16	28474111	28495575
SULT1A1	16	28605196	28610044
EIF3C	16	28688558	28735727
ATXN2L	16	28822999	28837237
TUFM	16	28842411	28846348
PRRT2	16	29811382	29815892
MVP	16	29820394	29848039
SEZ6L2	16	29871159	29899550
ALDOA	16	30064164	30070457
MAPK3	16	30114105	30123506
CD2BP2	16	30350773	30355308
ZNF768	16	30524004	30526821
SRCAP	16	30698209	30741409
BCL7C	16	30833626	30894302
ORAI3	16	30949068	30956461
BCKDK	16	31106107	31112791
FUS	16	31180138	31196963
PYCARD	16	31201486	31203450
VPS35	16	46656132	46689518
SIAH1	16	48356364	48448402
HEATR3	16	50065967	50107272
CYLD	16	50742050	50801935
RBL2	16	53433977	53491648
AKTIP	16	53491040	53504411
FTO	16	53701692	54158512
CRNDE	16	54844649	54931354
GNAO1	16	56189660	56357444
AMFR	16	56361452	56425545
NUDT21	16	56429133	56452199
NUP93	16	56730118	56850286
RSPRY1	16	57186137	57240469
POLR2C	16	57462660	57472009
CFAP20	16	58113592	58129381
CSNK2A2	16	58157907	58198106
CCDC113	16	58231157	58283836
NDRG4	16	58462846	58513628
CNOT1	16	58519951	58629885
CBFB	16	67028984	67101058
HSF4	16	67164681	67169945
E2F4	16	67192155	67198918
RIPOR1	16	67518418	67546788
CTCF	16	67562467	67639177
THAP11	16	67842320	67844195
NUTF2	16	67846882	67872567
PSKH1	16	67893254	67929676
NFATC3	16	68084751	68229259
SMPD3	16	68358327	68448508
CDH3	16	68636189	68727468
CDH1	16	68737292	68835537
SNTB2	16	69187147	69309052
VPS4A	16	69311336	69326939
TERF2	16	69355567	69408571
NFAT5	16	69565094	69704666
NQO1	16	69706996	69726668
WWP2	16	69762328	69941741
DDX19A	16	70346861	70373383
SF3B3	16	70523791	70577670
ATXN1L	16	71808439	71885268
ZFHX3	16	72782885	73891871
BCAR1	16	75228181	75268053
CFDP1	16	75293698	75433503
WWOX	16	78099400	79212667
MAF	16	79585843	79600737
OSGIN1	16	83931311	83966332
HSDL1	16	84122141	84145192
USP10	16	84699986	84779922
GSE1	16	85169525	85676204
IRF8	16	85899116	85922606
MAP1LC3B	16	87383953	87404779
SLC7A5	16	87830016	87869507
ZC3H18	16	88570403	88631964
CYBA	16	88643275	88651083
PIEZO1	16	88715338	88785220
GALNS	16	88813734	88856970
CDK10	16	89680737	89696354
TUBB3	16	89921392	89938761
GLOD4	17	757097	782294
NXN	17	799310	979776
CRK	17	1420689	1463162
MYO1C	17	1464186	1492686
SLC43A2	17	1569268	1628886
PRPF8	17	1650629	1684867
SERPINF2	17	1742836	1755265
RPA1	17	1829702	1900082
METTL16	17	2405562	2511891
NCBP3	17	3802158	3846246
MYBBP1A	17	4538897	4555386
ALOX15	17	4630919	4642294
PELP1	17	4669774	4704337
ARRB2	17	4710596	4721499
CXCL16	17	4733533	4739928
PLD2	17	4807152	4823434
SLC25A11	17	4937130	4940053
RNF167	17	4940008	4945222
ZNF232	17	5105269	5123162
C1QBP	17	5432777	5448830
DLG4	17	7187187	7219836
DVL2	17	7225342	7234517
PHF23	17	7235029	7239722
CLDN7	17	7259903	7263983
EIF5A	17	7306999	7312463
NEURL4	17	7315628	7329393
CHRNB1	17	7445061	7457710
ZBTB4	17	7459366	7484263
POLR2A	17	7484366	7514616
TNFSF12	17	7548508	7557890
TNFSF13	17	7558292	7561608
EIF4A1	17	7572824	7579006
MPDU1	17	7583529	7592789
FXR2	17	7591230	7614897
SAT2	17	7626234	7627876
TP53	17	7661779	7687546
KDM6B	17	7834217	7854796
CHD3	17	7884796	7912760
CNTROB	17	7932101	7949920
PER1	17	8140467	8156506
MYH10	17	8474207	8631376
MAP2K4	17	12020829	12143830
ELAC2	17	12991612	13018065
NCOR1	17	16029065	16218185
FLCN	17	17212212	17237188
RASD1	17	17494437	17496395
SREBF1	17	17810399	17837002
TOM1L2	17	17843507	17972422
ALKBH5	17	18183078	18209954
FLII	17	18244815	18258738
SHMT1	17	18327873	18363550
ALDH3A2	17	19648136	19685760
ULK2	17	19770829	19867936
SPECC1	17	20008865	20319026
TMEM97	17	28319200	28328685
POLDIP2	17	28346633	28357527
UNC119	17	28546708	28552631
NEK8	17	28725897	28743455
TRAF4	17	28744011	28750956
FLOT2	17	28879335	28897733
PHF12	17	28905250	28951771
TEFM	17	30897336	30906238
NF1	17	31094927	31382116
RHOT1	17	32142454	32253374
MYO1D	17	32492522	32877177
TMEM98	17	32927910	32945106
LIG3	17	34980512	35009743
SLFN5	17	35243071	35273655
ACACA	17	37084992	37406836
TADA2A	17	37406886	37479725
SYNRG	17	37514807	37609472
HNF1B	17	37686431	37745059
MRPL45	17	38297023	38323217
SRCIN1	17	38530031	38605952
LASP1	17	38869859	38921770
MED1	17	39404285	39451272
PPP1R1B	17	39626740	39636626
ERBB2	17	39687914	39730426
MIEN1	17	39728496	39730532
PSMD3	17	39980807	39997959
THRA	17	40058290	40093867
RARA	17	40309180	40357643
TOP2A	17	40388525	40417896
SMARCE1	17	40624962	40648654
JUP	17	41754604	41786931
ACLY	17	41866917	41930542
CNP	17	41966763	41977740
KAT2A	17	42113111	42121367
STAT5B	17	42199176	42288633
STAT5A	17	42287547	42311943
STAT3	17	42313324	42388568
COASY	17	42561467	42566277
RETREG3	17	42579513	42610623
TUBG1	17	42609641	42615238
EZH1	17	42700275	42745049
BECN1	17	42810134	42833350
PSME3	17	42824385	42843760
AARSD1	17	42950526	42964498
IFI35	17	43006740	43014456
ARL4D	17	43398993	43401137
SOST	17	43753738	43758791
LSM12	17	44034328	44067619
TMUB2	17	44186970	44191929
UBTF	17	44205033	44221626
SLC25A39	17	44319625	44324870
GRN	17	44345246	44353106
CCDC43	17	44673069	44689779
EFTUD2	17	44849948	44899445
HEXIM1	17	45148475	45152099
MAPT	17	45894527	46028334
CDC27	17	47117703	47189422
KPNB1	17	47649476	47685505
NFE2L1	17	48048329	48061545
CBX1	17	48070052	48101478
SNX11	17	48103357	48123601
HOXB4	17	48575507	48578350
HOXB5	17	48591257	48593779
HOXB6	17	48595751	48604992
HOXB7	17	48607232	48633572
HOXB9	17	48621156	48626358
HOXB13	17	48724763	48728750
PHB	17	49404049	49414905
ITGA3	17	50055968	50090481
PPP1R9B	17	50133737	50150677
LRRC59	17	50375059	50397523
ABCC3	17	50634777	50692253
ANKRD40	17	50693198	50707914
NME1	17	51153559	51162428
STXBP4	17	54968727	55173632
TMEM100	17	55719627	55732121
COIL	17	56938199	56961050
SCPEP1	17	56978129	57006768
MSI2	17	57255851	57684689
SRSF1	17	58000919	58007346
TSPOAP1	17	58301228	58328795
RNF43	17	58353676	58417595
CLTC	17	59619680	59696956
TUBD1	17	59859426	59892945
HEATR6	17	60041008	60078922
CA4	17	60149942	60170899
USP32	17	60177327	60422470
APPBP2	17	60443158	60526242
PPM1D	17	60600193	60666280
BCAS3	17	60677453	61392838
TBX2	17	61399843	61409466
METTL2A	17	62423875	62453385
TLK2	17	62458658	62615481
MRC2	17	62627670	62693597
ACE	17	63477061	63498380
PSMC5	17	63827152	63832026
ERN1	17	64039080	64130819
SMURF2	17	64542282	64662307
CEP112	17	65635537	66192133
PRKCA	17	66302613	66810743
KPNA2	17	68035636	68047364
PRKAR1A	17	68511780	68551319
KCNJ16	17	70053429	70135608
SOX9	17	72121020	72126416
SLC39A11	17	72645949	73092712
SDK2	17	73334384	73644445
GPRC5C	17	74424851	74451653
SLC9A3R1	17	74748628	74769353
CDR2L	17	74987632	75005800
GRB2	17	75318076	75405709
ITGB4	17	75721328	75757818
GALK1	17	75751594	75765236
H3F3B	17	75776434	75785893
WBP2	17	75845699	75856507
TRIM47	17	75874164	75878581
TRIM65	17	75880335	75896951
CDK3	17	76000855	76005999
FOXJ1	17	76136333	76141245
PRPSAP1	17	76309478	76384521
MXRA7	17	76672551	76711004
SRSF2	17	76734115	76737333
SEPTIN9	17	77280569	77500596
TK1	17	78172780	78187233
BIRC5	17	78214186	78225636
USP36	17	78787381	78841441
TIMP2	17	78852977	78925387
C1QTNF1	17	79022814	79049788
GAA	17	80101533	80119881
EIF4A3	17	80134369	80147151
SGSH	17	80206716	80220923
RPTOR	17	80544819	80966371
BAIAP2	17	81035122	81117434
CCDC137	17	81666737	81673904
HGS	17	81683326	81703138
SLC25A10	17	81712236	81721016
P4HB	17	81843159	81860856
ALYREF	17	81887835	81891586
SIRT7	17	81911939	81921323
FASN	17	82078338	82098294
CCDC57	17	82101460	82212878
CYBC1	17	82440912	82450829
FN3KRP	17	82716706	82730328
COLEC12	18	316737	500722
TYMS	18	657653	673578
ENOSF1	18	670318	712662
YES1	18	721588	812546
SMCHD1	18	2655726	2805017
PTPRM	18	7566782	8406861
MTCL1	18	8705556	8832778
TWSG1	18	9334767	9402420
PPP4R1	18	9546791	9615240
APCDD1	18	10454635	10489949
PTPN2	18	12785478	12929643
LDLRAD4	18	13217498	13652755
ROCK1	18	20944612	21111813
SNRPD1	18	21612314	21633524
GATA6	18	22169589	22202528
RBBP8	18	22798261	23026488
NPC1	18	23506184	23586506
LAMA3	18	23689453	23956222
SS18	18	26016253	26091217
DSG2	18	31497624	31551351
KLHL14	18	32672673	32773023
DTNA	18	34493291	34891844
MAPRE2	18	34976928	35143470
PIK3C3	18	41955234	42087830
EPG5	18	45800581	45967329
ATP5F1A	18	46080248	46104334
SMAD2	18	47808957	47931146
SMAD7	18	48919853	48950965
LIPG	18	49560699	49599185
ACAA2	18	49782164	49813953
MYO5B	18	49822789	50195164
ELAC1	18	50967991	50988121
SMAD4	18	51028528	51085045
TCF4	18	55222185	55664787
FECH	18	57544377	57586732
NEDD4L	18	58044226	58401540
MALT1	18	58671465	58754477
GRP	18	59220158	59230774
TNFRSF11A	18	62325287	62391288
ZCCHC2	18	62523025	62587709
BCL2	18	63123346	63320128
CDH7	18	65750252	65890337
ZCCHC3	20	297570	300321
NRSN2	20	346782	359660
TRIB3	20	362835	397559
RBCK1	20	407498	432139
CSNK2A1	20	472498	543835
FAM110A	20	833715	857463
SIRPA	20	1894167	1940592
STK35	20	2101827	2177038
SNRPB	20	2461634	2470853
CENPB	20	3783851	3786740
MAVS	20	3846799	3876123
PANK2	20	3888839	3929887
SMOX	20	4120980	4187747
PRNP	20	4686350	4701590
SLC23A2	20	4852356	5010293
PCNA	20	5114953	5126626
PLCB1	20	8077251	8968360
SNAP25	20	10172395	10308258
JAG1	20	10637684	10673999
ESF1	20	13714322	13784919
FLRT3	20	14322985	14337614
SEC23B	20	18507520	18561415
CST4	20	23685640	23689038
CST2	20	23823769	23826729
APMAP	20	24962925	24992751
PYGB	20	25248085	25298012
BCL2L1	20	31664452	31723989
TM9SF4	20	32109714	32167258
PLAGL2	20	32192504	32207743
ASXL1	20	32358330	32439319
NOL4L	20	32443059	32585333
CDK5RAP1	20	33358839	33401561
AHCY	20	34280268	34311802
ITCH	20	34363235	34511773
MAP1LC3A	20	34546854	34560345
GSS	20	34928432	34956027
UQCC1	20	35302566	35412031
RBM12	20	35648925	35664956
NORAD	20	36042280	36051018
AAR2	20	36236131	36270918
SAMHD1	20	36890229	36951893
SRC	20	37344685	37406050
VSTM2L	20	37903111	37945350
TTI1	20	37983007	38033461
MAFB	20	40685848	40689236
TOP1	20	41028822	41124487
PLCG1	20	41136960	41196801
CCN5	20	44714844	44728509
KCNK15	20	44745865	44752313
PABPC1L	20	44910060	44959035
TOMM34	20	44942130	44960397
STK4	20	44966494	45084214
SDC4	20	45325288	45348424
CTSA	20	45890144	45898949
CD40	20	46118271	46129863
NCOA3	20	47501887	47656877
CSE1L	20	49046246	49096960
STAU1	20	49113339	49188367
DDX27	20	49219347	49244077
PTPN1	20	50510321	50585241
ADNP	20	50888916	50931437
DPM1	20	50934867	50959140
BMP7	20	57168753	57266641
RBM38	20	57391396	57409333
VAPB	20	58389229	58451101
OGFR	20	62804835	62814000
TCFL5	20	62841005	62861822
YTHDF1	20	63195429	63216139
EEF1A2	20	63477488	63499239
PTK6	20	63528001	63537376
GMEB2	20	63587602	63627101
SLC2A4RG	20	63739776	63744050
CDC34	19	531760	542092
PTBP1	19	797075	812327
ABCA7	19	1039997	1065572
POLR2E	19	1086574	1095380
STK11	19	1177558	1228431
DAZAP1	19	1407569	1435687
REEP6	19	1491166	1497927
TCF3	19	1609291	1652615
KLF16	19	1852399	1863579
SCAMP4	19	1905214	1926013
AP3D1	19	2100988	2164468
DOT1L	19	2163933	2232578
GNA11	19	3094362	3123999
NCLN	19	3185563	3209575
FZR1	19	3506311	3538334
CHAF1A	19	4402640	4445018
PLIN5	19	4522531	4535224
LRG1	19	4536402	4540036
SAFB	19	5623035	5668478
LONP1	19	5691834	5720572
FUT3	19	5842888	5851471
RANBP3	19	5916139	5978142
KHSRP	19	6413102	6424811
INSR	19	7112255	7294414
PNPLA6	19	7534004	7561764
ELAVL1	19	7958573	8005659
ANGPTL4	19	8363289	8374370
HNRNPM	19	8444767	8489114
PIN1	19	9835257	9849689
OLFM2	19	9853718	9936515
SHFL	19	10086122	10093252
DNMT1	19	10133342	10231286
RAVER1	19	10316212	10333529
TYK2	19	10350528	10380608
CDC37	19	10391090	10420121
KEAP1	19	10486125	10503558
ILF3	19	10654304	10692400
DNM2	19	10718055	10833488
CARM1	19	10871553	10923075
TIMM29	19	10928811	10933535
SMARCA4	19	10960932	11079426
LDLR	19	11089418	11133820
KANK2	19	11164270	11197791
EPOR	19	11377207	11384342
ECSIT	19	11505929	11529172
MAN2B1	19	12643831	12666742
CC2D1A	19	13906201	13930879
RFX1	19	13961530	14007039
PRKACA	19	14091688	14118084
ADGRL1	19	14147743	14206187
GIPC1	19	14477760	14496149
NOTCH3	19	15159038	15200995
BRD4	19	15235519	15332545
AKAP8	19	15353385	15379815
RAB8A	19	16111889	16134234
AP1M1	19	16197854	16245906
SLC35E1	19	16549831	16572415
MAP1S	19	17719242	17734513
CCDC124	19	17933015	17943991
PIK3R2	19	18153163	18170540
GDF15	19	18374731	18389176
KXD1	19	18557762	18569387
KLHL26	19	18637025	18671721
UPF1	19	18831959	18868230
SUGP2	19	18990888	19034023
YJEFN3	19	19528861	19537581
PEPD	19	33386950	33521823
GRAMD1A	19	34994784	35026471
DMKN	19	35497220	35513658
PSENEN	19	35745600	35747519
YIF1B	19	38303558	38317273
KCNK6	19	38319845	38332076
ACTN4	19	38647649	38731589
SIRT2	19	38878555	38899862
PAK4	19	39125770	39182816
DYRK1B	19	39825350	39834201
FBL	19	39834458	39846379
FCGBP	19	39863323	39934626
AKT2	19	40230317	40285536
AXL	19	41219223	41261766
HNRNPUL1	19	41262496	41307787
GSK3A	19	42226225	42242625
MEGF8	19	42325609	42378769
PHLDB3	19	43474341	43504935
XRCC1	19	43543311	43580473
IRGQ	19	43584367	43596134
CADM4	19	43622368	43639850
PLAUR	19	43646095	43670547
KCNN4	19	43766533	43780976
PVR	19	44643798	44666162
BCL3	19	44747705	44760044
BCAM	19	44809071	44821421
NECTIN2	19	44846175	44889223
TOMM40	19	44890569	44903689
PPP1R37	19	45091396	45148077
ERCC2	19	45349837	45370918
ERCC1	19	45407334	45478828
VASP	19	45506579	45526989
DMWD	19	45782947	45792845
IRF2BP1	19	45883608	45886141
CALM3	19	46601074	46610782
STRN4	19	46719511	46746994
SLC1A5	19	46774883	46788594
ARHGAP35	19	46860997	47005077
CCDC9	19	47255980	47273701
MEIS3	19	47403124	47419527
CARD8	19	48180770	48255946
GRWD1	19	48445841	48457022
CYTH2	19	48469208	48482314
BAX	19	48954815	48961798
GYS1	19	48968130	48993310
RUVBL2	19	48993562	49015970
TRPM4	19	49157741	49211836
PIH1D1	19	49446298	49453497
PRRG2	19	49580646	49591004
RRAS	19	49635292	49640143
IRF3	19	49659569	49665875
PRMT1	19	49675786	49689029
AP2A1	19	49767001	49807114
PTOV1	19	49850735	49860744
NUP62	19	49906825	49929764
KCNC3	19	50311937	50333515
NR1H2	19	50329653	50383388
KLK4	19	50906351	50911395
PPP2R1A	19	52170936	52229518
NDUFA3	19	54102728	54109257
PRPF31	19	54115410	54131719
LENG8	19	54449190	54462016
NLRP2	19	54953130	55001142
HSPBP1	19	55262223	55280381
ISOC2	19	55452985	55462343
U2AF2	19	55654146	55674716
TRIM28	19	58544064	58550722
MZF1	19	58561931	58573575
USP9Y	Y	12537650	12860839
DDX3Y	Y	12904108	12920478
KDM5D	Y	19703865	19744939
EIF1AY	Y	20575776	20593154
IL17RA	22	17084954	17115693
BCL2L13	22	17628855	17730855
BID	22	17734138	17774770
SLC25A1	22	19175581	19178739
SEPTIN5	22	19714503	19724224
COMT	22	19941371	19969975
TANGO2	22	20017014	20067164
TRMT2A	22	20111875	20117392
PI4KA	22	20707691	20859417
CRKL	22	20917407	20953747
UBE2L3	22	21549447	21624034
SDF2L1	22	21642302	21644299
MAPK1	22	21759657	21867680
TOP3B	22	21957025	21982813
BCR	22	23179704	23318037
SMARCB1	22	23786931	23838009
DERL3	22	23834503	23839128
SPECC1L	22	24270817	24417739
SNRPD3	22	24555958	24582052
GGT1	22	24556007	24628987
MIAT	22	26646411	26676478
PITPNB	22	27851669	27920134
CHEK2	22	28687743	28742422
XBP1	22	28794555	28800597
EWSR1	22	29268009	29300525
GAS2L1	22	29306618	29312787
AP1B1	22	29327680	29388583
NEFH	22	29480218	29491390
NIPSNAP1	22	29554808	29581327
NF2	22	29603553	29698598
ASCC2	22	29788609	29838304
SF3A1	22	30331988	30356919
DRG1	22	31399604	31528740
EIF4ENIF1	22	31436977	31496108
PRR14L	22	31676256	31750140
SLC5A1	22	32043261	32113029
RTCB	22	32387582	32412248
MCM5	22	35400134	35425431
APOL6	22	35648446	35668404
APOL3	22	36139792	36166177
APOL2	22	36226209	36239954
APOL1	22	36253071	36267530
MYH9	22	36281280	36388010
C1QTNF6	22	37180166	37199385
PLA2G6	22	38111495	38214778
MAFF	22	38200767	38216511
CSNK1E	22	38290691	38318084
GTPBP1	22	38705742	38738299
APOBEC3C	22	39014257	39020352
APOBEC3F	22	39040604	39055972
APOBEC3G	22	39077067	39087743
CBX7	22	39120167	39152680
TAB1	22	39399778	39437060
ATF4	22	39519695	39522686
MRTFA	22	40410281	40636719
SLC25A17	22	40769630	40819399
XPNPEP3	22	40857077	40932815
RBX1	22	40951347	40973309
EP300	22	41092510	41180077
RANGAP1	22	41244779	41286187
XRCC6	22	41621163	41664048
SREBF2	22	41833105	41907306
TCF20	22	42160013	42343616
BIK	22	43110750	43129712
PPARA	22	46150521	46243755
CELSR1	22	46360834	46537620
PANX2	22	50170731	50180295
HDAC10	22	50245183	50251405
PLXNB2	22	50274979	50307646
MAPK8IP2	22	50600793	50613981
NRIP1	21	14961235	15065936
CXADR	21	17513043	17593579
APP	21	25880535	26171128
ADAMTS1	21	26835755	26845409
ADAMTS5	21	26917922	26967088
CCT8	21	29055805	29073797
SOD1	21	31659666	31668931
SCAF4	21	31671000	31732118
URB1	21	32311018	32393012
IFNAR2	21	33205282	33265675
IL10RB	21	33266367	33311420
IFNAR1	21	33324387	33359864
IFNGR2	21	33403413	33479348
GART	21	33503931	33543491
CRYZL1	21	33589341	33643926
SLC5A3	21	34073578	34106260
SETD4	21	36034541	36079389
CBR1	21	36069941	36073166
SIM2	21	36699115	36749917
DYRK1A	21	37365573	37526358
KCNJ15	21	38155549	38307357
ERG	21	38380027	38661780
BACE2	21	41167801	41282530
MX1	21	41420020	41470071
TMPRSS2	21	41464300	41531116
RIPK4	21	41739369	41767089
ZBTB21	21	41986831	42010387
ABCG1	21	42199689	42304389
U2AF1	21	43092956	43107570
RRP1B	21	43659560	43696079
COL18A1	21	45405165	45513720
MCM3AP	21	46235133	46286297
DIP2A	21	46458891	46572743
